#,Thermostat,identifier,511881595382
#,Thermostat,name,Main Floor
#,Start,date,2022-10-31
#,End,date,2022-11-29

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion
2022-10-31,01:00:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.4,50,5.8,0,0,0,0,0,0,0,,22.5,50,0,
2022-10-31,01:05:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.4,49,5.8,0,0,0,0,0,0,120,,22.4,49,0,
2022-10-31,01:10:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.3,49,5.8,0,0,0,0,0,0,300,,22.3,49,0,
2022-10-31,01:15:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.3,49,5.8,0,0,0,0,0,0,300,,22.3,49,0,
2022-10-31,01:20:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.3,49,5.8,0,0,0,0,0,0,15,,22.3,49,0,
2022-10-31,01:25:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.3,49,5.8,0,0,0,0,0,0,135,,22.3,49,0,
2022-10-31,01:30:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.3,49,5.7,0,0,0,0,0,0,300,,22.3,49,0,
2022-10-31,01:35:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.3,49,5.7,0,0,0,0,0,0,15,,22.3,49,0,
2022-10-31,01:40:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.3,49,5.7,0,0,0,0,0,0,135,,22.3,49,0,
2022-10-31,01:45:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.3,49,5.7,0,0,0,0,0,0,300,,22.3,49,0,
2022-10-31,01:50:00,auto,compressorHeatStage1On,hold,Sleep,27.5,22.5,22.2,49,5.7,0,0,0,300,0,0,300,,22.2,49,0,
2022-10-31,01:55:00,auto,compressorHeatStage1On,hold,Sleep,27.5,22.5,22.1,49,5.7,0,0,0,300,0,0,300,,22.1,49,0,
2022-10-31,02:00:00,auto,compressorHeatStage2On,hold,Sleep,27.5,22.5,22.2,49,5.7,0,0,0,300,300,0,300,,22.2,49,0,
2022-10-31,02:05:00,auto,compressorHeatStage2On,hold,Sleep,27.5,22.5,22.2,49,5.7,0,0,0,300,300,0,300,,22.2,49,0,
2022-10-31,02:10:00,auto,compressorHeatStage2On,hold,Sleep,27.5,22.5,22.3,49,5.7,0,0,0,300,300,0,300,,22.3,49,0,
2022-10-31,02:15:00,auto,compressorHeatStage2On,hold,Sleep,27.5,22.5,22.3,49,5.7,0,0,0,300,300,0,300,,22.3,49,0,
2022-10-31,02:20:00,auto,compressorHeatStage2On,hold,Sleep,27.5,22.5,22.4,49,5.7,0,0,0,300,300,0,300,,22.4,49,0,
2022-10-31,02:25:00,auto,compressorHeatStage2On,hold,Sleep,27.5,22.5,22.4,50,5.7,0,0,0,300,300,0,300,,22.4,50,0,
2022-10-31,02:30:00,auto,compressorHeatStage2On,hold,Sleep,27.5,22.5,22.4,50,5.3,0,0,0,75,75,0,120,,22.4,50,0,
2022-10-31,02:35:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.6,49,5.3,0,0,0,0,0,0,0,0.1,22.6,49,0,
2022-10-31,02:40:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.6,49,5.3,0,0,0,0,0,0,135,0.1,22.6,49,0,
2022-10-31,02:45:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.4,49,5.3,0,0,0,0,0,0,300,,22.5,49,0,
2022-10-31,02:50:00,auto,compressorHeatOff,hold,Sleep,27.5,22.5,22.4,49,5.3,0,0,0,0,0,0,15,,22.4,49,0,
