#,Thermostat,identifier,511881595382
#,Thermostat,name,Main Floor
#,Start,date,2023-10-01
#,End,date,2023-10-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion
2023-10-01,01:00:00,auto,heatOff,,Sleep,25.3,20.3,22.8,59,13.6,0,0,0,0,0,0,0,0.1,22.8,59,0,
2023-10-01,01:05:00,auto,heatOff,,Sleep,25.3,20.3,22.8,59,13.6,0,0,0,0,0,0,0,0.1,22.8,59,0,
2023-10-01,01:10:00,auto,heatOff,,Sleep,25.3,20.3,22.8,59,13.6,0,0,0,0,0,0,0,0.1,22.8,59,0,
2023-10-01,01:15:00,auto,heatOff,,Sleep,25.3,20.3,22.7,59,13.6,0,0,0,0,0,0,0,0.1,22.8,59,0,
2023-10-01,01:20:00,auto,heatOff,,Sleep,25.3,20.3,22.7,59,13.6,0,0,0,0,0,0,0,0.1,22.8,59,0,
2023-10-01,01:25:00,auto,heatOff,,Sleep,25.3,20.3,22.7,59,13.6,0,0,0,0,0,0,0,0.1,22.8,59,0,
2023-10-01,01:30:00,auto,heatOff,,Sleep,25.3,20.3,22.7,59,13.3,0,0,0,0,0,0,0,0.1,22.8,59,0,
2023-10-01,01:35:00,auto,heatOff,,Sleep,25.3,20.3,22.7,58,13.3,0,0,0,0,0,0,0,0.1,22.7,58,0,
2023-10-01,01:40:00,auto,heatOff,,Sleep,25.3,20.3,22.6,58,13.3,0,0,0,0,0,0,0,0.1,22.7,58,0,
2023-10-01,01:45:00,auto,heatOff,,Sleep,25.3,20.3,22.6,57,13.3,0,0,0,0,0,0,0,0.1,22.7,57,0,
2023-10-01,01:50:00,auto,heatOff,,Sleep,25.3,20.3,22.6,57,13.3,0,0,0,0,0,0,0,0.2,22.7,57,0,
2023-10-01,01:55:00,auto,heatOff,,Sleep,25.3,20.3,22.6,57,13.3,0,0,0,0,0,0,0,0.2,22.7,57,0,
2023-10-01,02:00:00,auto,heatOff,,Sleep,25.3,20.3,22.6,57,12.8,0,0,0,0,0,0,0,0.2,22.7,57,0,
2023-10-01,02:05:00,auto,heatOff,,Sleep,25.3,20.3,22.5,57,12.8,0,0,0,0,0,0,0,0.2,22.7,57,0,
2023-10-01,02:10:00,auto,heatOff,,Sleep,25.3,20.3,22.5,57,12.8,0,0,0,0,0,0,0,0.2,22.7,57,0,
2023-10-01,02:15:00,auto,heatOff,,Sleep,25.3,20.3,22.5,57,12.8,0,0,0,0,0,0,0,0.2,22.7,57,0,
2023-10-01,02:20:00,auto,heatOff,,Sleep,25.3,20.3,22.5,57,12.8,0,0,0,0,0,0,0,0.1,22.6,57,0,
2023-10-01,02:25:00,auto,heatOff,,Sleep,25.3,20.3,22.5,57,12.8,0,0,0,0,0,0,0,0.1,22.6,57,0,
2023-10-01,02:30:00,auto,heatOff,,Sleep,25.3,20.3,22.5,57,12.4,0,0,0,0,0,0,0,0.1,22.6,57,0,
2023-10-01,02:35:00,auto,heatOff,,Sleep,25.3,20.3,22.4,57,12.4,0,0,0,0,0,0,0,0.1,22.6,57,0,
2023-10-01,02:40:00,auto,heatOff,,Sleep,25.3,20.3,22.4,57,12.4,0,0,0,0,0,0,0,0.1,22.6,57,0,
2023-10-01,02:45:00,auto,heatOff,,Sleep,25.3,20.3,22.4,57,12.4,0,0,0,0,0,0,0,0.1,22.6,57,0,
2023-10-01,02:50:00,auto,heatOff,,Sleep,25.3,20.3,22.4,57,12.4,0,0,0,0,0,0,0,0.1,22.6,57,0,
2023-10-01,02:55:00,auto,heatOff,,Sleep,25.3,20.3,22.4,57,12.4,0,0,0,0,0,0,0,0.1,22.5,57,0,
2023-10-01,03:00:00,auto,heatOff,,Sleep,25.3,20.3,22.4,57,12,0,0,0,0,0,0,0,0.1,22.5,57,0,
