#,Thermostat,identifier,511881595382
#,Thermostat,name,Main Floor
#,Start,date,2022-07-31
#,End,date,2022-08-30

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion
2022-07-31,01:00:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.8,54,15.7,0,0,0,0,0,0,105,,23.8,54,0,
2022-07-31,01:05:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.8,55,15.7,0,0,0,0,0,0,300,,23.8,55,0,
2022-07-31,01:10:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.8,54,15.7,0,0,0,0,0,0,45,,23.8,54,0,
2022-07-31,01:15:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.8,55,15.7,0,0,0,0,0,0,105,,23.8,55,0,
2022-07-31,01:20:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.8,56,15.7,0,0,0,0,0,0,300,,23.8,56,0,
2022-07-31,01:25:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.8,55,15.7,0,0,0,0,0,0,45,,23.8,55,0,
2022-07-31,01:30:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.7,55,15.3,0,0,0,0,0,0,120,,23.7,55,0,
2022-07-31,01:35:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.7,55,15.3,0,0,0,0,0,0,300,,23.7,55,0,
2022-07-31,01:40:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.7,56,15.3,0,0,0,0,0,0,30,,23.7,56,0,
2022-07-31,01:45:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.7,56,15.3,0,0,0,0,0,0,120,,23.7,56,0,
2022-07-31,01:50:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.7,56,15.3,0,0,0,0,0,0,300,,23.7,56,0,
2022-07-31,01:55:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.7,56,15.3,0,0,0,0,0,0,30,,23.7,56,0,
2022-07-31,02:00:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,15.1,0,0,0,0,0,0,120,,23.6,56,0,
2022-07-31,02:05:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,15.1,0,0,0,0,0,0,300,,23.6,56,0,
2022-07-31,02:10:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,15.1,0,0,0,0,0,0,30,,23.6,56,0,
2022-07-31,02:15:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,15.1,0,0,0,0,0,0,120,,23.6,56,0,
2022-07-31,02:20:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,15.1,0,0,0,0,0,0,300,,23.6,56,0,
2022-07-31,02:25:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,15.1,0,0,0,0,0,0,30,,23.6,56,0,
2022-07-31,02:30:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,14.7,0,0,0,0,0,0,120,,23.6,56,0,
2022-07-31,02:35:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,14.7,0,0,0,0,0,0,300,,23.6,56,0,
2022-07-31,02:40:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,14.7,0,0,0,0,0,0,30,,23.6,56,0,
2022-07-31,02:45:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.6,56,14.7,0,0,0,0,0,0,120,,23.6,56,0,
2022-07-31,02:50:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.5,56,14.7,0,0,0,0,0,0,300,,23.5,56,0,
2022-07-31,02:55:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.5,56,14.7,0,0,0,0,0,0,30,,23.5,56,0,
2022-07-31,03:00:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.5,56,14.3,0,0,0,0,0,0,120,,23.5,56,0,
2022-07-31,03:05:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.5,56,14.3,0,0,0,0,0,0,300,,23.5,56,0,
2022-07-31,03:10:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.4,56,14.3,0,0,0,0,0,0,30,,23.4,56,0,
2022-07-31,03:15:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.4,56,14.3,0,0,0,0,0,0,120,,23.4,56,0,
2022-07-31,03:20:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.4,56,14.3,0,0,0,0,0,0,300,,23.4,56,0,
2022-07-31,03:25:00,auto,compressorCoolOff,,Sleep,24.7,19.7,23.4,56,14.3,0,0,0,0,0,0,30,,23.4,56,0,
