#,Thermostat,identifier,511881595382
#,Thermostat,name,Main Floor
#,Start,date,2023-05-01
#,End,date,2023-05-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion
2023-05-01,00:00:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.4,38,4.6,0,0,0,0,0,0,180,,21.4,38,0,
2023-05-01,00:05:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.4,38,4.6,0,0,0,0,0,0,270,,21.4,38,0,
2023-05-01,00:10:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.4,38,4.6,0,0,0,0,0,0,0,,21.4,38,0,
2023-05-01,00:15:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.4,38,4.6,0,0,0,0,0,0,180,,21.4,38,0,
2023-05-01,00:20:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.4,38,4.6,0,0,0,0,0,0,270,,21.4,38,0,
2023-05-01,00:25:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.4,38,4.6,0,0,0,0,0,0,0,,21.4,38,0,
2023-05-01,00:30:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.4,38,4.4,0,0,0,0,0,0,180,,21.4,38,0,
2023-05-01,00:35:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.4,38,4.4,0,0,0,0,0,0,270,,21.4,38,0,
2023-05-01,00:40:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.3,38,4.4,0,0,0,0,0,0,0,,21.3,38,0,
2023-05-01,00:45:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.3,38,4.4,0,0,0,0,0,0,180,,21.3,38,0,
2023-05-01,00:50:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.3,38,4.4,0,0,0,0,0,0,270,,21.3,38,0,
2023-05-01,00:55:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.3,38,4.4,0,0,0,0,0,0,0,,21.3,38,0,
2023-05-01,01:00:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.2,38,4.2,0,0,0,0,0,0,180,,21.2,38,0,
2023-05-01,01:05:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.2,38,4.2,0,0,0,0,0,0,270,,21.2,38,0,
2023-05-01,01:10:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.2,38,4.2,0,0,0,0,0,0,0,,21.2,38,0,
2023-05-01,01:15:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.2,38,4.2,0,0,0,0,0,0,180,,21.2,38,0,
2023-05-01,01:20:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.2,38,4.2,0,0,0,0,0,0,270,,21.2,38,0,
2023-05-01,01:25:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.2,38,4.2,0,0,0,0,0,0,0,,21.2,38,0,
2023-05-01,01:30:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.2,38,3.9,0,0,0,0,0,0,180,,21.2,38,0,
2023-05-01,01:35:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.2,38,3.9,0,0,0,0,0,0,270,,21.2,38,0,
2023-05-01,01:40:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.1,38,3.9,0,0,0,0,0,0,0,,21.1,38,0,
2023-05-01,01:45:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.1,38,3.9,0,0,0,0,0,0,180,,21.1,38,0,
2023-05-01,01:50:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.1,38,3.9,0,0,0,0,0,0,270,,21.1,38,0,
2023-05-01,01:55:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21.1,38,3.9,0,0,0,0,0,0,0,,21.1,38,0,
2023-05-01,02:00:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21,38,3.7,0,0,0,0,0,0,180,,21,38,0,
2023-05-01,02:05:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21,38,3.7,0,0,0,0,0,0,270,,21,38,0,
2023-05-01,02:10:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21,38,3.7,0,0,0,0,0,0,0,,21,38,0,
2023-05-01,02:15:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21,38,3.7,0,0,0,0,0,0,180,,21,38,0,
2023-05-01,02:20:00,auto,compressorHeatOff,,Sleep,25.3,20.3,21,38,3.7,0,0,0,0,0,0,270,,21,38,0,
2023-05-01,02:25:00,auto,compressorHeatOff,,Sleep,25.3,20.3,20.9,38,3.7,0,0,0,0,0,0,0,,20.9,38,0,
2023-05-01,02:30:00,auto,compressorHeatOff,,Sleep,25.3,20.3,20.9,38,3.4,0,0,0,0,0,0,180,,20.9,38,0,
