#,Thermostat,identifier,511881595382
#,Thermostat,name,Main Floor
#,Start,date,2023-07-01
#,End,date,2023-07-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion
2023-07-01,00:00:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,60,19.6,0,0,0,0,0,0,0,,24.7,60,0,
2023-07-01,00:05:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,60,19.6,0,0,0,0,0,0,0,,24.7,60,0,
2023-07-01,00:10:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,60,19.6,0,0,0,0,0,0,0,,24.7,60,0,
2023-07-01,00:15:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,60,19.6,0,0,0,0,0,0,0,,24.7,60,0,
2023-07-01,00:20:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.6,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,00:25:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.6,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,00:30:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,00:35:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,00:40:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,00:45:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,00:50:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,00:55:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,01:00:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,01:05:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,01:10:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,01:15:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,01:20:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,59,19.2,0,0,0,0,0,0,0,,24.7,59,0,
2023-07-01,01:25:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,59,19.2,0,0,0,0,0,0,0,,24.6,59,0,
2023-07-01,01:30:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,59,18.9,0,0,0,0,0,0,0,,24.6,59,0,
2023-07-01,01:35:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,59,18.9,0,0,0,0,0,0,0,,24.6,59,0,
2023-07-01,01:40:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,59,18.9,0,0,0,0,0,0,0,,24.6,59,0,
2023-07-01,01:45:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,59,18.9,0,0,0,0,0,0,0,,24.6,59,0,
2023-07-01,01:50:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,58,18.9,0,0,0,0,0,0,0,,24.6,58,0,
2023-07-01,01:55:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,57,18.9,0,0,0,0,0,0,0,,24.6,57,0,
2023-07-01,02:00:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,57,18.5,0,0,0,0,0,0,0,,24.6,57,0,
2023-07-01,02:05:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,57,18.5,0,0,0,0,0,0,0,,24.6,57,0,
2023-07-01,02:10:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,57,18.5,0,0,0,0,0,0,0,,24.6,57,0,
2023-07-01,02:15:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,57,18.5,0,0,0,0,0,0,0,,24.6,57,0,
2023-07-01,02:20:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,57,18.5,0,0,0,0,0,0,0,,24.6,57,0,
2023-07-01,02:25:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,58,18.5,0,0,0,0,0,0,0,,24.6,58,0,
2023-07-01,02:30:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,57,18.2,0,0,0,0,0,0,0,,24.6,57,0,
2023-07-01,02:35:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.6,57,18.2,0,0,0,0,0,0,0,,24.6,57,0,
2023-07-01,02:40:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,58,18.2,0,0,0,0,0,0,0,,24.7,58,0,
2023-07-01,02:45:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,58,18.2,0,0,0,0,0,0,0,,24.7,58,0,
