#,Thermostat,identifier,511881595382
#,Thermostat,name,Main Floor
#,Start,date,2023-06-01
#,End,date,2023-06-30

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion
2023-06-01,00:00:00,auto,compressorCoolOff,,Sleep,25.3,20.3,25,36,18.8,0,0,0,0,0,0,0,,25,36,0,
2023-06-01,00:05:00,auto,compressorCoolOff,,Sleep,25.3,20.3,25,36,18.8,0,0,0,0,0,0,0,,25,36,0,
2023-06-01,00:10:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.9,37,18.8,0,0,0,0,0,0,0,,24.9,37,0,
2023-06-01,00:15:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.9,37,18.8,0,0,0,0,0,0,0,,24.9,37,0,
2023-06-01,00:20:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.9,37,18.8,0,0,0,0,0,0,195,,24.9,37,0,
2023-06-01,00:25:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.9,37,18.8,0,0,0,0,0,0,255,,24.9,37,0,
2023-06-01,00:30:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.9,37,18.3,0,0,0,0,0,0,0,,24.9,37,0,
2023-06-01,00:35:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.8,37,18.3,0,0,0,0,0,0,195,,24.8,37,0,
2023-06-01,00:40:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.8,37,18.3,0,0,0,0,0,0,255,,24.8,37,0,
2023-06-01,00:45:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.8,38,18.3,0,0,0,0,0,0,0,,24.8,38,0,
2023-06-01,00:50:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.8,38,18.3,0,0,0,0,0,0,195,,24.8,38,0,
2023-06-01,00:55:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.8,38,18.3,0,0,0,0,0,0,255,,24.8,38,0,
2023-06-01,01:00:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.8,38,17.5,0,0,0,0,0,0,0,,24.8,38,0,
2023-06-01,01:05:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.8,39,17.5,0,0,0,0,0,0,195,,24.8,39,0,
2023-06-01,01:10:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.8,39,17.5,0,0,0,0,0,0,255,,24.8,39,0,
2023-06-01,01:15:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,40,17.5,0,0,0,0,0,0,0,,24.7,40,0,
2023-06-01,01:20:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,40,17.5,0,0,0,0,0,0,195,,24.7,40,0,
2023-06-01,01:25:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,40,17.5,0,0,0,0,0,0,255,,24.7,40,0,
2023-06-01,01:30:00,auto,compressorCoolOff,,Sleep,25.3,20.3,24.7,40,16.9,0,0,0,0,0,0,0,,24.7,40,0,
